> **📎 RAG LPパラメーター（有料）.xlsx** (xlsx)
>
> [シート: Sheet 1]
> ,期間　2024/2/1-2/29,Lp Parameter,総受,割合,面談,URL,
> RAG有料集客,リスティング,c-common-,"1,633.00",3%,181.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-common-,
> ,,a-brand-,"1,576.00",3%,753.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-,
> ,,a-it-web-,"1,211.00",2%,95.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-it-web-,
> ,,a-brand-1009,"1,098.00",2%,742.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1009,
> ,,b-big-agent-,873.00,2%,247.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-agent-,
> ,,b-big-ten-,844.00,2%,144.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-ten-,
> ,,b-big-1064,835.00,2%,203.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-1064,
> ,,c-common-1051,752.00,1%,96.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-common-1051,
> ,,f-company-1012,721.00,1%,75.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=f-company-1012,
> ,,e-medical-,616.00,1%,44.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-medical-,
> ,,c-balance-,602.00,1%,63.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-balance-,
> ,,dt-area-1023,561.00,1%,111.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dt-area-1023,
> ,,c-tekisyokushindan-,558.00,1%,65.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-tekisyokushindan-,
> ,,c-zaitaku-,492.00,1%,47.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-zaitaku-,
> ,,b-big-1012,428.00,1%,223.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-1012,
> ,,a-brand-1007,425.00,1%,255.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1007,
> ,,e-industry-b-1007,390.00,1%,50.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-industry-b-1007,
> ,,e-industry-a-,388.00,1%,72.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-industry-a-,
> ,,dt-area-kyu-other-,375.00,1%,44.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dt-area-kyu-other-,
> ,,c-ikuji-,368.00,1%,52.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-ikuji-,
> ,,dt-area-ten-other-,359.00,1%,38.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dt-area-ten-other-,
> ,,c-daini-,340.00,1%,72.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-daini-,
> ,,c-tekisyokushindan-1015,331.00,1%,35.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-tekisyokushindan-1015,
> ,,b-big-1072,328.00,1%,54.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-1072,
> ,,c-zaitaku-1024,321.00,1%,37.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-zaitaku-1024,
> ,,a-it-web-1002,314.00,1%,21.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-it-web-1002,
> ,,a-brand-1069,314.00,1%,153.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1069,
> ,,,308.00,1%,103.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=,
> ,,c-ikuji-1013,289.00,1%,35.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-ikuji-1013,
> ,,a-brand-1055,274.00,1%,100.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1055,
> ,,a-it-web-1004,263.00,0%,14.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-it-web-1004,
> ,,e-industry-b-,261.00,0%,26.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-industry-b-,
> ,,e-backoffice-,260.00,0%,41.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=e-backoffice-,
> ,,a-it-,248.00,0%,24.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-it-,
> ,,dt-area-1032,247.00,0%,35.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=dt-area-1032,
> ,,c-balance-1016,226.00,0%,35.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-balance-1016,
> ,,f-company-1017,217.00,0%,41.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=f-company-1017,
> ,,c-shokumukeireki-1004,216.00,0%,51.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-shokumukeireki-1004,
> ,,a-brand-middle-,210.00,0%,81.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-middle-,
> ,,a-brand-1074,206.00,0%,99.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1074,
> ,,c-gogaku-,204.00,0%,46.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=c-gogaku-,
> ,,a-brand-1075,203.00,0%,97.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1075,
> ,,a-brand-1071,192.00,0%,90.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1071,
> ,,a-brand-1073,178.00,0%,87.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=a-brand-1073,
> ,,b-big-agent-1001,166.00,0%,44.00,https://www.r-agent.com/entry/tssmp/signup/jobChgWishTime?param=b-big-agent-1001,
